"","Protein","Label","log2FC","SE","Tvalue","DF","pvalue","adj.pvalue","issue","MissingPercentage","ImputationPercentage"
"1","sp|D6VTK4|STE2_YEAST","C2-C1",0.078461617963431,0.09648007986959,0.813241635677395,8,0.439610015180696,0.999115460979145,NA,0,0
"7","sp|O13297|CET1_YEAST","C2-C1",-0.111197322703493,0.0774933251376473,-1.43492775030596,8,0.189223283772078,0.999115460979145,NA,0,0
"13","sp|O13329|FOB1_YEAST","C2-C1",-0.162094216028059,0.290900856371431,-0.557214640238432,8,0.592624333936043,0.999115460979145,NA,0,0
"19","sp|O13539|THP2_YEAST","C2-C1",-0.437421066525798,0.828713508358539,-0.527831466621333,8,0.611938687698084,0.999115460979145,NA,0,0
"25","sp|O13547|CCW14_YEAST","C2-C1",-0.0577477292598523,0.146724054273928,-0.393580517834108,8,0.704172439880063,0.999115460979145,NA,0,0
"31","sp|O13563|RPN13_YEAST","C2-C1",-0.169451865706401,0.0951859099360776,-1.78022005378944,8,0.112912551751206,0.999115460979145,NA,0,0
"37","sp|O13585|YP089_YEAST","C2-C1",-0.165263881798933,0.114957836279992,-1.43760431778148,8,0.188485991145985,0.999115460979145,NA,0,0
"43","sp|O14455|RL36B_YEAST","C2-C1",-0.00111421677448701,0.224381383125138,-0.00496572736547222,8,0.996159533935051,0.999115460979145,NA,0,0
"49","sp|O14467|MBF1_YEAST","C2-C1",0.0871254332570469,0.175196181744823,0.497302123764016,8,0.632354127595439,0.999115460979145,NA,0,0
"55","sp|O14468|YO304_YEAST","C2-C1",-0.623739507491339,0.4787367986275,-1.30288607284744,8,0.228863032535226,0.999115460979145,NA,0,0
"61","sp|O43137|YB085_YEAST","C2-C1",-0.107418930735309,0.275231987141043,-0.390285053169573,8,0.70651208224966,0.999115460979145,NA,0,0
"67","sp|O60200|MDM35_YEAST","C2-C1",1.51936423560566,1.35692679450804,1.11970980435721,8,0.295325552238517,0.999115460979145,NA,0,0
"73","sp|O74700|TIM9_YEAST","C2-C1",-0.0430362904303873,0.131699386780615,-0.326776695643065,8,0.752222440539537,0.999115460979145,NA,0,0
"79","sp|P00128|QCR7_YEAST","C2-C1",0.0234743278491907,0.0455299592558747,0.51557981234437,8,0.620089703357353,0.999115460979145,NA,0,0
"85","sp|P00330|ADH1_YEAST","C2-C1",0.0642803436184503,0.0582507845650463,1.10351034923265,8,0.301890046846961,0.999115460979145,NA,0,0
"91","sp|P00358|G3P2_YEAST","C2-C1",0.402480571757076,0.396385089136989,1.01537767889645,8,0.339647114260101,0.999115460979145,NA,0,0
"97","sp|P00359|G3P3_YEAST","C2-C1",0.228901725181421,0.263034723674798,0.870233868682761,8,0.409523827777464,0.999115460979145,NA,0,0
"103","sp|P00360|G3P1_YEAST","C2-C1",0.0181233632024847,0.0572053651186009,0.316812298372897,8,0.759495514377571,0.999115460979145,NA,0,0
"109","sp|P00410|COX2_YEAST","C2-C1",-0.345615798341,0.368287771298972,-0.938439517342631,8,0.375482737080445,0.999115460979145,NA,0,0
"115","sp|P00425|COX5B_YEAST","C2-C1",-0.0372136282762101,0.0987559082893856,-0.376824322927217,8,0.716102921468327,0.999115460979145,NA,0,0
"121","sp|P00427|COX6_YEAST","C2-C1",0.0487900813740647,0.110358934516833,0.442103592134832,8,0.670121974679017,0.999115460979145,NA,0,0
"127","sp|P00431|CCPR_YEAST","C2-C1",-0.0150088922472028,0.0785089074018939,-0.191174387007718,8,0.853151715623402,0.999115460979145,NA,0,0
"133","sp|P00445|SODC_YEAST","C2-C1",0.0174407794743973,0.123729722372149,0.1409586891494,8,0.891387311659823,0.999115460979145,NA,0,0
"139","sp|P00447|SODM_YEAST","C2-C1",-0.00787888422856925,0.0584539839652219,-0.134787805622572,8,0.896109153584073,0.999115460979145,NA,0,0
"145","sp|P00498|HIS1_YEAST","C2-C1",0.0330996864104111,0.0800344574387918,0.413567948976537,8,0.690054696246573,0.999115460979145,NA,0,0
"151","sp|P00546|CDK1_YEAST","C2-C1",-0.115875083308905,0.0772946411781969,-1.49913475944295,8,0.172222792160965,0.999115460979145,NA,0,0
"157","sp|P00549|KPYK1_YEAST","C2-C1",0.0248404066643025,0.0383701455451043,0.647388909043947,8,0.535511625993203,0.999115460979145,NA,0,0
"163","sp|P00560|PGK_YEAST","C2-C1",0.0557684514320221,0.0617400118767129,0.903278922967892,8,0.39276364193322,0.999115460979145,NA,0,0
"169","sp|P00572|KTHY_YEAST","C2-C1",-0.212715955298618,0.178735660900885,-1.19011479984723,8,0.268117777911792,0.999115460979145,NA,0,0
"175","sp|P00635|PPA5_YEAST","C2-C1",-0.143953292167564,0.0664317807076936,-2.16693411849026,8,0.0621145984652296,0.999115460979145,NA,0,0
"181","sp|P00724|INV2_YEAST","C2-C1",0.0223461117902933,0.0449307663542217,0.497345440630208,8,0.632324916042867,0.999115460979145,NA,0,0
"187","sp|P00729|CBPY_YEAST","C2-C1",-0.0252542222343687,0.0565740974892009,-0.446391959486218,8,0.667149845934095,0.999115460979145,NA,0,0
"193","sp|P00761|TRYP_PIG","C2-C1",0.124655355195567,0.0735139103937748,1.69567030957617,8,0.128391287430252,0.999115460979145,NA,0,0
"199","sp|P00812|ARGI_YEAST","C2-C1",-0.186900090136207,0.107691115626189,-1.73552004777223,8,0.120864349812805,0.999115460979145,NA,0,0
"205","sp|P00815|HIS2_YEAST","C2-C1",0.0184472027768148,0.032624193982128,0.565445472366932,8,0.587274388541921,0.999115460979145,NA,0,0
"211","sp|P00817|IPYR_YEAST","C2-C1",0.0500051591032706,0.0443756593737498,1.12686008070566,8,0.292464613755647,0.999115460979145,NA,0,0
"217","sp|P00830|ATPB_YEAST","C2-C1",0.0114193588505459,0.0409545354296679,0.278830140074634,8,0.787447228050704,0.999115460979145,NA,0,0
"223","sp|P00890|CISY1_YEAST","C2-C1",0.0210455589655032,0.0372332549209629,0.565235540383932,8,0.587410508963779,0.999115460979145,NA,0,0
"229","sp|P00899|TRPE_YEAST","C2-C1",-0.00288420398231327,0.0579028320802146,-0.0498111038561585,8,0.9614941024948,0.999115460979145,NA,0,0
"235","sp|P00924|ENO1_YEAST","C2-C1",0.0743182254561888,0.0169757675438519,4.37790074965445,8,0.00235540393404987,0.59415064236408,NA,0,0
"241","sp|P00925|ENO2_YEAST","C2-C1",0.0830214005165138,0.0549880354757452,1.50980844829661,8,0.169532447941928,0.999115460979145,NA,0,0
"247","sp|P00927|THDH_YEAST","C2-C1",0.00596887704915032,0.0597931418675253,0.0998254459077375,8,0.922939153768907,0.999115460979145,NA,0,0
"253","sp|P00931|TRP_YEAST","C2-C1",-0.0154251759705822,0.0262520482685067,-0.587579902825604,8,0.573021159657823,0.999115460979145,NA,0,0
"259","sp|P00937|TRPG_YEAST","C2-C1",-0.0213385287333381,0.0882343388899628,-0.241839277108988,8,0.814988602357654,0.999115460979145,NA,0,0
"265","sp|P00942|TPIS_YEAST","C2-C1",0.0651388662327623,0.0838760124281282,0.776609001156065,8,0.459732935691849,0.999115460979145,NA,0,0
"271","sp|P00950|PMG1_YEAST","C2-C1",0.0454692403245377,0.04662283799345,0.975256811499242,8,0.357996570486617,0.999115460979145,NA,0.00694444444444442,0
"277","sp|P00958|SYMC_YEAST","C2-C1",-0.0321760991553525,0.036646728331294,-0.878007413498794,8,0.405535902306926,0.999115460979145,NA,0,0
"283","sp|P01094|IPA3_YEAST","C2-C1",0.106018531144943,0.800886113568785,0.132376538122905,8,0.897955418553619,0.999115460979145,NA,0,0
"289","sp|P01097|ATIF_YEAST","C2-C1",-0.406765018496672,0.250273589645721,-1.62528143330055,8,0.142756282926145,0.999115460979145,NA,0,0
"295","sp|P01119|RAS1_YEAST","C2-C1",-0.232518499504002,0.142151746225274,-1.63570624827583,8,0.140539388588733,0.999115460979145,NA,0,0
